etiqueta,x1,y1,x2,y2,imagen,w,h
borde_izquierdo,208,481,396,360,re_2021_06_02_195018_001.png,960,540
linea_carril,276,478,416,359,re_2021_06_02_195018_001.png,960,540
linea_carril,708,472,497,344,re_2021_06_02_195018_001.png,960,540
linea_carril,538,341,750,384,re_2021_06_02_195018_001.png,960,540
linea_emergencia,500,474,467,353,re_2021_06_02_195018_001.png,960,540
borde_izquierdo,208,478,390,367,re_2021_06_02_195018_002.png,960,540
linea_carril,279,477,418,360,re_2021_06_02_195018_002.png,960,540
linea_carril,709,472,510,352,re_2021_06_02_195018_002.png,960,540
linea_carril,523,338,726,381,re_2021_06_02_195018_002.png,960,540
linea_emergencia,501,474,463,346,re_2021_06_02_195018_002.png,960,540
borde_izquierdo,227,482,407,353,re_2021_06_02_195018_003.png,960,540
linea_carril,297,481,424,356,re_2021_06_02_195018_003.png,960,540
linea_carril,500,347,739,470,re_2021_06_02_195018_003.png,960,540
linea_carril,781,391,566,346,re_2021_06_02_195018_003.png,960,540
linea_emergencia,519,476,472,356,re_2021_06_02_195018_003.png,960,540
borde_izquierdo,229,483,394,367,re_2021_06_02_195018_004.png,960,540
linea_carril,309,478,427,356,re_2021_06_02_195018_004.png,960,540
linea_carril,737,469,512,349,re_2021_06_02_195018_004.png,960,540
linea_carril,558,344,764,385,re_2021_06_02_195018_004.png,960,540
linea_emergencia,530,474,473,349,re_2021_06_02_195018_004.png,960,540
borde_izquierdo,247,479,396,366,re_2021_06_02_195018_005.png,960,540
linea_carril,313,480,425,352,re_2021_06_02_195018_005.png,960,540
linea_carril,748,470,492,344,re_2021_06_02_195018_005.png,960,540
linea_carril,549,345,789,389,re_2021_06_02_195018_005.png,960,540
linea_emergencia,535,468,464,347,re_2021_06_02_195018_005.png,960,540
borde_izquierdo,223,484,408,361,re_2021_06_02_195018_006.png,960,540
linea_carril,302,482,429,350,re_2021_06_02_195018_006.png,960,540
linea_carril,502,347,727,469,re_2021_06_02_195018_006.png,960,540
linea_carril,556,347,718,379,re_2021_06_02_195018_006.png,960,540
linea_emergencia,523,473,466,344,re_2021_06_02_195018_006.png,960,540
borde_izquierdo,174,480,396,354,re_2021_06_02_195018_007.png,960,540
linea_carril,247,478,415,356,re_2021_06_02_195018_007.png,960,540
linea_carril,694,472,485,342,re_2021_06_02_195018_007.png,960,540
linea_emergencia,476,479,456,343,re_2021_06_02_195018_007.png,960,540
linea_carril,532,343,702,383,re_2021_06_02_195018_007.png,960,540
borde_izquierdo,141,468,391,353,re_2021_06_02_195018_008.png,960,540
linea_carril,178,478,432,340,re_2021_06_02_195018_008.png,960,540
